form,arm,trace_i,row,global_index,kind,token_index,value,dt,verdict,phat,proj_vphat_lstar,proj_vp_lstar
A,below_good,14,109,109,tau_echo,453,15300000.0,,correct,-1,14.855532,-0.333031
A,below_good,14,110,110,est,482,13500000.0,-1,correct,-1,11.930487,2.442157
A,below_good,14,111,111,final,482,13500000.0,,correct,-1,11.930487,2.442157
A,below_good,14,112,112,final_corrected,482,13500000.0,,correct,-1,11.930487,2.442157
A,below_good,14,113,113,belief,502,,,correct,-1,12.079084,5.669413
A,below_good,15,114,114,end_of_prompt,194,,,correct,-1,10.750615,6.132125
A,below_good,15,115,115,est_offwin,422,117000.0,-1,correct,-1,17.351833,0.806786
A,below_good,15,116,116,est,554,58500000.0,1,correct,-1,20.054703,-1.921338
A,below_good,15,117,117,tau_echo,576,15300000.0,,correct,-1,16.930660,-2.635626
A,below_good,15,118,118,est,610,58500000.0,1,correct,-1,19.664875,7.725914
A,below_good,15,119,119,tau_echo,629,15300000.0,,correct,-1,18.430307,-0.025569
A,below_good,15,120,120,final,629,15300000.0,,correct,-1,18.430307,-0.025569
A,below_good,15,121,121,final_corrected,610,58500000.0,,correct,-1,19.664875,7.725914
A,below_good,15,122,122,belief,646,,,correct,-1,8.394835,6.551220
A,below_good,16,123,123,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,16,124,124,est_offwin,339,130000.0,-1,correct,-1,16.000616,-6.934436
A,below_good,16,125,125,est,445,14820000.0,-1,correct,-1,19.530111,1.888981
A,below_good,16,126,126,tau_echo,462,15300000.0,,correct,-1,19.600697,-3.927270
A,below_good,16,127,127,est,481,14820000.0,-1,correct,-1,19.893055,16.940134
A,below_good,16,128,128,final,481,14820000.0,,correct,-1,19.893055,16.940134
A,below_good,16,129,129,final_corrected,481,14820000.0,,correct,-1,19.893055,16.940134
A,below_good,16,130,130,belief,504,,,correct,-1,10.070033,4.862654
A,below_good,17,131,131,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,17,132,132,est_offwin,267,114000.0,-1,correct,-1,19.307575,-1.434774
A,below_good,17,133,133,est,379,14250000.0,-1,correct,-1,18.051298,-1.671407
A,below_good,17,134,134,tau_echo,396,15300000.0,,correct,-1,19.594210,-3.700956
A,below_good,17,135,135,est,416,14250000.0,-1,correct,-1,9.453041,14.472514
A,below_good,17,136,136,final,416,14250000.0,,correct,-1,9.453041,14.472514
A,below_good,17,137,137,final_corrected,416,14250000.0,,correct,-1,9.453041,14.472514
A,below_good,17,138,138,belief,429,,,correct,-1,8.563698,4.057633
A,below_good,18,139,139,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,18,140,140,est_offwin,307,111000.0,-1,correct,-1,19.415695,1.274270
A,below_good,18,141,141,est,373,16650000.0,1,correct,-1,22.379980,-1.200145
A,below_good,18,142,142,tau_echo,413,15300000.0,,correct,-1,15.005427,-2.166227
A,below_good,18,143,143,final,413,15300000.0,,correct,-1,15.005427,-2.166227
A,below_good,18,144,144,final_corrected,396,16650000.0,,correct,-1,22.652126,13.065322
A,below_good,18,145,145,belief,441,,,correct,-1,5.341615,5.143326
A,below_good,19,146,146,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,19,147,147,est_offwin,261,68000.0,-1,correct,-1,21.995329,-2.498026
A,below_good,19,148,148,est,371,7752000.0,-1,correct,-1,22.295761,3.367744
A,below_good,19,149,149,tau_echo,392,15300000.0,,correct,-1,20.536705,-4.437788
A,below_good,19,150,150,est,413,7752000.0,-1,correct,-1,21.527210,13.722538
A,below_good,19,151,151,final,485,7752000.0,,correct,-1,21.810366,14.192389
A,below_good,19,152,152,final_corrected,485,7752000.0,,correct,-1,21.810366,14.192389
A,below_good,20,153,153,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,20,154,154,est_offwin,249,117000.0,-1,correct,-1,19.300957,-2.407650
A,below_good,20,155,155,est,360,13338000.0,-1,correct,-1,22.633715,0.678342
A,below_good,20,156,156,tau_echo,422,15300000.0,,correct,-1,18.879984,-2.064678
A,below_good,20,157,157,final,422,15300000.0,,correct,-1,18.879984,-2.064678
A,below_good,20,158,158,final_corrected,401,13338000.0,,correct,-1,23.311489,17.144117
A,below_good,20,159,159,belief,433,,,correct,-1,12.288740,2.718258
A,below_good,21,160,160,end_of_prompt,194,,,correct,-1,10.686756,6.104009
A,below_good,21,161,161,est_offwin,276,117000.0,-1,correct,-1,19.421732,-2.365813
A,below_good,21,162,162,est_offwin,308,120000.0,-1,correct,-1,20.414305,-2.247704
A,below_good,21,163,163,est,437,9600000.0,-1,correct,-1,20.102306,-5.559932
A,below_good,21,164,164,tau_echo,503,15300000.0,,correct,-1,19.137037,-2.342246
A,below_good,21,165,165,final,503,15300000.0,,correct,-1,19.137037,-2.342246
A,below_good,21,166,166,final_corrected,483,9600000.0,,correct,-1,22.300632,12.397877
A,below_good,22,167,167,end_of_prompt,194,,,correct,-1,10.686756,6.104009
A,below_good,22,168,168,est_offwin,302,117239.0,-1,correct,-1,9.696442,2.131771
A,below_good,22,169,169,est,496,13367346.0,-1,correct,-1,12.846698,6.481091
A,below_good,22,170,170,tau_echo,556,15300000.0,,correct,-1,18.141193,-2.648024
A,below_good,22,171,171,final,556,15300000.0,,correct,-1,18.141193,-2.648024
A,below_good,22,172,172,final_corrected,534,13367346.0,,correct,-1,15.613689,18.505213
A,below_good,22,173,173,belief,569,,,correct,-1,10.854988,7.724342
A,below_good,23,174,174,end_of_prompt,194,,,correct,-1,10.709288,6.142563
A,below_good,23,175,175,est_offwin,271,117000.0,-1,correct,-1,19.675476,-1.764041
A,below_good,23,176,176,est,497,17550000.0,1,correct,-1,23.378361,0.903510
A,below_good,23,177,177,tau_echo,515,15300000.0,,correct,-1,15.238913,-1.639258
A,below_good,23,178,178,est,549,17550000.0,1,correct,-1,22.008770,14.504033
A,below_good,23,179,179,tau_echo,655,15300000.0,,correct,-1,17.449093,-0.363420
A,below_good,23,180,180,final,655,15300000.0,,correct,-1,17.449093,-0.363420
A,below_good,23,181,181,final_corrected,640,17550000.0,,correct,-1,23.043156,3.576264
A,below_good,23,182,182,belief,676,,,correct,-1,8.129276,8.092222
A,below_good,24,183,183,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,24,184,184,est_offwin,291,68293.0,-1,correct,-1,7.810481,1.444190
A,below_good,24,185,185,est,348,7512230.0,-1,correct,-1,17.870646,-3.115587
A,below_good,24,186,186,tau_echo,394,15300000.0,,correct,-1,18.882982,-4.397186
A,below_good,24,187,187,final,394,15300000.0,,correct,-1,18.882982,-4.397186
A,below_good,24,188,188,final_corrected,372,7512230.0,,correct,-1,21.057556,13.622988
A,below_good,24,189,189,belief,409,,,correct,-1,10.715204,6.050065
A,below_good,25,190,190,end_of_prompt,194,,,correct,-1,10.686756,6.104009
A,below_good,25,191,191,est_offwin,277,117000.0,-1,correct,-1,19.543884,1.437456
A,below_good,25,192,192,est,436,17550000.0,1,correct,-1,22.374590,-1.021501
A,below_good,25,193,193,tau_echo,494,15300000.0,,correct,-1,15.834966,-0.731350
A,below_good,25,194,194,final,494,15300000.0,,correct,-1,15.834966,-0.731350
A,below_good,25,195,195,final_corrected,474,17550000.0,,correct,-1,21.583237,13.531370
A,below_good,25,196,196,belief,518,,,correct,-1,5.546861,5.864436
A,below_good,26,197,197,end_of_prompt,194,,,correct,-1,10.687909,6.113922
A,below_good,26,198,198,est_offwin,404,117000.0,-1,correct,-1,18.933266,1.604075
A,below_good,26,199,199,est,521,16380000.0,1,correct,-1,23.724609,-1.485986
A,below_good,26,200,200,tau_echo,584,15300000.0,,correct,-1,16.810448,-1.105379
A,below_good,26,201,201,final,584,15300000.0,,correct,-1,16.810448,-1.105379
A,below_good,26,202,202,final_corrected,565,16380000.0,,correct,-1,23.002565,15.843798
A,below_good,26,203,203,belief,601,,,correct,-1,9.190393,6.730232
A,below_good,27,204,204,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,27,205,205,est_offwin,287,140000.0,-1,correct,-1,20.113533,-1.377034
A,below_good,27,206,206,est,422,22400000.0,1,correct,-1,19.423237,-2.894832
A,below_good,27,207,207,tau_echo,470,15300000.0,,correct,-1,16.483932,-2.746003
A,below_good,27,208,208,final,470,15300000.0,,correct,-1,16.483932,-2.746003
A,below_good,27,209,209,final_corrected,449,22400000.0,,correct,-1,18.186600,13.909728
A,below_good,27,210,210,belief,489,,,correct,-1,9.379887,5.800532
A,below_good,28,211,211,end_of_prompt,194,,,correct,-1,10.686756,6.104009
A,below_good,28,212,212,est_offwin,312,134000.0,-1,correct,-1,22.843519,2.234768
A,below_good,28,213,213,est,467,30150000.0,1,correct,-1,22.002514,2.284357
A,below_good,28,214,214,tau_echo,513,15300000.0,,correct,-1,13.881089,-2.315629
A,below_good,28,215,215,final,513,15300000.0,,correct,-1,13.881089,-2.315629
A,below_good,28,216,216,final_corrected,496,30150000.0,,correct,-1,21.721081,13.215770
A,below_good,28,217,217,belief,541,,,correct,-1,8.974991,5.402989
A,below_good,29,218,218,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,29,219,219,est_offwin,266,115000.0,-1,correct,-1,19.751596,-3.791842
A,below_good,29,220,220,est_offwin,308,4000.0,-1,correct,-1,15.322611,-4.477291
A,below_good,29,221,221,est_offwin,333,115000.0,-1,correct,-1,27.323841,2.437180
A,below_good,29,222,222,est,354,13110000.0,-1,correct,-1,20.874081,-6.393142
A,below_good,29,223,223,est_offwin,367,4000.0,-1,correct,-1,25.311649,-0.938812
A,below_good,29,224,224,est,385,456000.0,-1,correct,-1,17.215342,-2.132934
A,below_good,29,225,225,est,403,13110000.0,-1,correct,-1,20.378317,3.496761
A,below_good,29,226,226,est,412,456000.0,-1,correct,-1,25.771935,0.238442
A,below_good,29,227,227,est,424,13566000.0,-1,correct,-1,14.374931,5.525136
A,below_good,29,228,228,tau_echo,483,15300000.0,,correct,-1,17.948198,-2.845080
A,below_good,29,229,229,final,483,15300000.0,,correct,-1,17.948198,-2.845080
A,below_good,29,230,230,final_corrected,463,13566000.0,,correct,-1,21.230377,15.546419
A,below_good,30,231,231,end_of_prompt,194,,,correct,-1,10.687909,6.113922
A,below_good,30,232,232,est_offwin,329,35000.0,-1,correct,-1,18.647167,-1.532249
A,below_good,30,233,233,est_offwin,383,8700.0,-1,correct,-1,15.085571,1.837114
A,below_good,30,234,234,est_offwin,426,35000.0,-1,correct,-1,24.781712,1.363471
A,below_good,30,235,235,est,442,8750000.0,-1,correct,-1,17.981205,-9.414491
A,below_good,30,236,236,est_offwin,457,8700.0,-1,correct,-1,22.336464,4.663130
A,below_good,30,237,237,est,473,1044000.0,-1,correct,-1,13.690182,-1.091206
A,below_good,30,238,238,est,493,9794000.0,-1,correct,-1,18.159145,3.522123
A,below_good,30,239,239,tau_echo,536,15300000.0,,correct,-1,15.605646,-3.879998
A,below_good,30,240,240,est,555,9794000.0,-1,correct,-1,19.296131,14.576267
A,below_good,30,241,241,tau_echo,576,15300000.0,,correct,-1,19.095261,1.148579
A,below_good,30,242,242,final,576,15300000.0,,correct,-1,19.095261,1.148579
A,below_good,30,243,243,final_corrected,555,9794000.0,,correct,-1,19.296131,14.576267
A,below_good,30,244,244,belief,588,,,correct,-1,9.560638,7.912997
A,below_good,31,245,245,end_of_prompt,194,,,correct,-1,10.642157,6.084336
A,below_good,31,246,246,est_offwin,335,117000.0,-1,correct,-1,18.325775,1.294163
A,below_good,31,247,247,est_offwin,367,52650.0,-1,correct,-1,16.433741,-1.499691
A,below_good,31,248,248,est,505,13533450.0,-1,correct,-1,19.249640,1.542597
A,below_good,31,249,249,est_offwin,601,2500.0,-1,correct,-1,15.506635,-4.017820
A,below_good,31,250,250,est,646,2000000.0,-1,correct,-1,11.908930,-10.709318
A,below_good,31,251,251,est,666,13533450.0,-1,correct,-1,20.017494,3.831120
A,below_good,31,252,252,est,677,2000000.0,-1,correct,-1,21.548868,-6.289171
A,below_good,31,253,253,est,689,15533450.0,1,correct,-1,14.579149,4.631910
A,below_good,31,254,254,tau_echo,707,15300000.0,,correct,-1,13.373482,-0.331165
A,below_good,31,255,255,final,742,15300000.0,,correct,-1,15.636280,6.052667
A,below_good,31,256,256,final_corrected,689,15533450.0,,correct,-1,14.579149,4.631910
A,below_good,32,257,257,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,32,258,258,est_offwin,249,117000.0,-1,correct,-1,18.791451,-0.883792
A,below_good,32,259,259,est,443,12870000.0,-1,correct,-1,23.244812,3.565990
A,below_good,32,260,260,tau_echo,464,15300000.0,,correct,-1,20.618725,-3.245775
A,below_good,32,261,261,est,502,12870000.0,-1,correct,-1,20.120590,14.338379
A,below_good,32,262,262,final,502,12870000.0,,correct,-1,20.120590,14.338379
A,below_good,32,263,263,final_corrected,502,12870000.0,,correct,-1,20.120590,14.338379
A,below_good,32,264,264,belief,475,,,correct,-1,10.713785,6.326674
A,below_good,33,265,265,end_of_prompt,194,,,correct,-1,10.687909,6.113922
A,below_good,33,266,266,est_offwin,400,134500.0,-1,correct,-1,21.095575,1.885154
A,below_good,33,267,267,est,442,20175000.0,1,correct,-1,22.479717,4.698884
A,below_good,33,268,268,tau_echo,459,15300000.0,,correct,-1,15.026175,-3.659116
A,below_good,33,269,269,est,542,15200000.0,-1,correct,-1,7.970977,5.197872
A,below_good,33,270,270,final,542,15200000.0,,correct,-1,7.970977,5.197872
A,below_good,33,271,271,final_corrected,542,15200000.0,,correct,-1,7.970977,5.197872
A,below_good,34,272,272,end_of_prompt,194,,,correct,-1,10.686756,6.104009
A,below_good,34,273,273,est_offwin,441,136000.0,-1,correct,-1,24.589117,-0.290206
A,below_good,34,274,274,est,463,17000000.0,1,correct,-1,19.789135,-7.769306
A,below_good,34,275,275,tau_echo,525,15300000.0,,correct,-1,15.536704,1.094343
A,below_good,34,276,276,final,525,15300000.0,,correct,-1,15.536704,1.094343
A,below_good,34,277,277,final_corrected,503,17000000.0,,correct,-1,20.433132,8.932404
A,below_good,34,278,278,belief,540,,,correct,-1,9.211359,6.258026
A,below_good,35,279,279,end_of_prompt,194,,,correct,-1,10.750615,6.132125
A,below_good,35,280,280,est_offwin,267,117239.0,-1,correct,-1,8.440500,2.753521
A,below_good,35,281,281,est,438,25792580.0,1,correct,-1,16.864065,3.656124
A,below_good,35,282,282,tau_echo,455,15300000.0,,correct,-1,15.463960,-4.949700
A,below_good,35,283,283,est,477,25792580.0,1,correct,-1,25.340366,8.891314
A,below_good,35,284,284,final,653,25792580.0,,correct,-1,18.029716,12.866661
A,below_good,35,285,285,final_corrected,653,25792580.0,,correct,-1,18.029716,12.866661
A,below_good,35,286,286,belief,489,,,correct,-1,9.927327,4.697767
A,below_good,36,287,287,end_of_prompt,194,,,correct,-1,10.687909,6.113922
A,below_good,36,288,288,est_offwin,301,117000.0,-1,correct,-1,19.918396,-2.591110
A,below_good,36,289,289,est,427,200000.0,-1,correct,-1,22.159531,-8.687536
A,below_good,36,290,290,est,479,18000000.0,1,correct,-1,18.774111,-4.727688
A,below_good,36,291,291,tau_echo,501,15300000.0,,correct,-1,16.511902,-2.943850
A,below_good,36,292,292,est,517,18000000.0,1,correct,-1,25.734612,-0.493151
A,below_good,36,293,293,final,557,18000000.0,,correct,-1,17.922672,11.634264
A,below_good,36,294,294,final_corrected,557,18000000.0,,correct,-1,17.922672,11.634264
A,below_good,36,295,295,belief,570,,,correct,-1,9.044772,3.887198
A,below_good,37,296,296,end_of_prompt,194,,,unclear,,10.711992,6.150922
A,below_good,37,297,297,est_offwin,260,100000.0,-1,unclear,,17.777340,-8.287163
A,below_good,37,298,298,est_offwin,374,1000.0,-1,unclear,,16.305466,-3.345141
A,below_good,37,299,299,est_offwin,413,100000.0,-1,unclear,,26.432751,-2.748148
A,below_good,37,300,300,est_offwin,419,1000.0,-1,unclear,,24.155325,2.394219
A,below_good,37,301,301,est,432,100000000.0,1,unclear,,14.371634,-5.744002
A,below_good,37,302,302,tau_echo,450,15300000.0,,unclear,,16.154980,-1.578423
A,below_good,37,303,303,est,475,100000000.0,1,unclear,,18.257439,5.500280
A,below_good,37,304,304,final,475,100000000.0,,unclear,,18.257439,5.500280
A,below_good,37,305,305,final_corrected,475,100000000.0,,unclear,,18.257439,5.500280
A,below_good,38,306,306,end_of_prompt,194,,,correct,-1,10.686756,6.104009
A,below_good,38,307,307,est_offwin,281,117000.0,-1,correct,-1,19.708588,0.965707
A,below_good,38,308,308,est,493,17550000.0,1,correct,-1,23.097216,-4.560718
A,below_good,38,309,309,tau_echo,510,15300000.0,,correct,-1,13.774421,-3.593561
A,below_good,38,310,310,final,510,15300000.0,,correct,-1,13.774421,-3.593561
A,below_good,38,311,311,final_corrected,493,17550000.0,,correct,-1,23.097216,-4.560718
A,below_good,38,312,312,belief,533,,,correct,-1,5.830634,7.209877
A,below_good,39,313,313,end_of_prompt,194,,,correct,-1,10.686756,6.104009
A,below_good,39,314,314,est_offwin,261,116000.0,-1,correct,-1,19.640924,-0.960606
A,below_good,39,315,315,est,458,13920000.0,-1,correct,-1,23.393602,2.906703
A,below_good,39,316,316,tau_echo,517,15300000.0,,correct,-1,18.140518,-0.607615
A,below_good,39,317,317,final,517,15300000.0,,correct,-1,18.140518,-0.607615
A,below_good,39,318,318,final_corrected,493,13920000.0,,correct,-1,22.943775,15.135969
A,below_good,39,319,319,belief,526,,,correct,-1,9.191368,5.646765
A,below_good,40,320,320,end_of_prompt,194,,,correct,-1,10.687909,6.113922
A,below_good,40,321,321,est_offwin,262,117239.0,-1,correct,-1,9.016533,2.382187
A,below_good,40,322,322,est,457,14654875.0,-1,correct,-1,10.422283,4.319899
A,below_good,40,323,323,est_offwin,534,117239.0,-1,correct,-1,18.519749,6.046556
A,below_good,40,324,324,tau_echo,557,15300000.0,,correct,-1,18.527651,-1.850014
A,below_good,40,325,325,final,557,15300000.0,,correct,-1,18.527651,-1.850014
A,below_good,40,326,326,final_corrected,534,117239.0,,correct,-1,18.519749,6.046556
A,below_good,40,327,327,belief,573,,,correct,-1,10.439426,8.275651
A,below_good,41,328,328,end_of_prompt,194,,,correct,-1,10.687909,6.113922
A,below_good,41,329,329,est_offwin,278,117000.0,-1,correct,-1,21.048233,2.082778
A,below_good,41,330,330,est,526,17550000.0,1,correct,-1,21.884735,1.409633
A,below_good,41,331,331,tau_echo,586,15300000.0,,correct,-1,17.255365,-0.498104
A,below_good,41,332,332,final,586,15300000.0,,correct,-1,17.255365,-0.498104
A,below_good,41,333,333,final_corrected,566,17550000.0,,correct,-1,21.629734,11.584401
A,below_good,41,334,334,belief,607,,,correct,-1,9.734888,6.240683
A,below_good,42,335,335,end_of_prompt,194,,,unclear,,10.719002,6.136469
