i,seed,n_output_tokens,truncated,regex_phat,cause_word,final_regex,belief_gen_pos,cut
319,11033,404,False,1,good,100000000000.0,302,277
320,11034,437,False,,,4000000000.0,,
321,11035,400,False,1,good,50000000000.0,397,372
322,11036,563,False,,,2500000000.0,,
323,11037,392,False,1,good,12500000000.0,385,360
324,11038,343,False,-1,good,206250000.0,305,280
325,11039,385,False,,,4375000000.0,,
326,11040,584,False,1,good,15000000000.0,581,556
327,11041,400,False,1,good,240000000000.0,393,368
328,11042,406,False,,,7000000000.0,,
329,11043,539,False,-1,bad,300000000000.0,342,317
330,11044,421,False,1,good,20000000000.0,390,365
331,11045,444,False,-1,good,500000000.0,441,416
332,11046,406,False,,,1000000000.0,,
333,11047,415,False,,,45000000000.0,,
334,11048,370,False,1,bad,2500000000.0,343,318
335,11049,376,False,1,good,5520000000.0,365,340
336,11050,373,False,,,2000000000.0,,
337,11051,502,False,,,3000000000.0,,
338,11052,641,False,1,good,120000000000.0,610,585
339,11053,362,False,1,bad,1600000000.0,355,330
340,11054,432,False,1,good,70000000000.0,427,402
341,11055,355,False,-1,good,1000000000.0,352,327
342,11056,479,False,,,12960000000.0,,
343,11057,432,False,,,3000000000.0,,
344,11058,480,False,,,14000000000.0,,
345,11059,464,False,1,good,34125000000.0,452,427
346,11060,428,False,,,3000000000.0,,
347,11061,372,False,-1,good,900000000.0,365,340
348,11062,399,False,1,good,10500000000.0,333,308
349,11063,388,False,,,11250000000.0,,
350,11064,324,False,,,75000000000.0,,
351,11065,354,False,1,good,12000000000.0,348,323
352,11066,402,False,-1,bad,250000000000.0,396,371
353,11067,650,False,1,bad,16329000.0,606,581
354,11068,338,False,-1,bad,5000000000.0,331,306
355,11069,441,False,,,16250000000.0,,
356,11070,398,False,1,bad,3750000000.0,385,360
357,11071,363,False,1,good,13500000000.0,323,298
358,11072,373,False,-1,good,1125000000.0,362,337
359,11073,425,False,1,good,7500000000.0,387,362
360,11074,610,False,,,480000000000.0,,
361,11075,344,False,,,1750000000.0,,
362,11076,417,False,1,good,8000000000.0,411,386
363,11077,482,False,,,4000000000.0,,
364,11078,373,False,,,3000000000.0,,
365,11079,464,False,,,3600000000.0,,
366,11080,454,False,,,2000000000.0,,
367,11081,420,False,,,2500000000.0,,
368,11082,345,False,,,9000000000.0,,
369,11083,409,False,1,good,10000000000.0,406,381
370,11084,386,False,,,4000000000.0,,
371,11085,434,False,-1,good,1050000000.0,426,401
372,11086,516,False,-1,good,4000000000.0,513,488
373,11087,382,False,-1,good,2500000000.0,379,354
374,11088,438,False,1,bad,1500000000.0,391,366
375,11089,544,False,,,4000000000.0,,
376,11090,519,False,,,4800000000.0,,
377,11091,509,False,,,50000000000.0,,
378,11092,383,False,1,good,75000000000.0,342,317
379,11093,441,False,,,4000000000.0,,
380,11094,387,False,1,bad,875000000.0,372,347
381,11095,590,False,,,2500000000.0,,
382,11096,378,False,,,3000000000.0,,
383,11097,340,False,,,96000000000.0,,
384,11098,398,False,,,480000000.0,,
385,11099,388,False,,,2800000000.0,,
386,11100,265,False,,,2500000000.0,,
387,11101,433,False,,,4000000000.0,,
388,11102,401,False,1,bad,2750000000.0,384,359
389,11103,346,False,1,good,15000000000.0,340,315
390,11104,613,False,1,good,30000000000.0,606,581
391,11105,380,False,1,good,25000000000.0,372,347
392,11106,425,False,,,5000000000.0,,
393,11107,765,False,,,4000000000.0,,
394,11108,354,False,,,200000000.0,,
395,11109,420,False,1,good,5000000000.0,411,386
396,11110,288,False,1,good,37500000000.0,277,252
397,11111,411,False,-1,good,300000000.0,403,378
398,11112,441,False,,,200000000000.0,,
399,11113,365,False,1,good,6000000000.0,362,337
400,11114,696,False,,,4000000000.0,,
401,11115,398,False,,,7500000000.0,,
402,11116,292,False,,,2500000000.0,,
403,11117,410,False,1,good,7500000000.0,400,375
404,11118,500,False,,,975000000.0,,
405,11119,467,False,-1,good,2800000000.0,408,383
406,11120,440,False,,,25000000000.0,,
407,11121,675,False,-1,good,1000000000.0,325,300
408,11122,403,False,1,good,42000000000.0,400,375
409,11123,549,False,,,3000000000.0,,
410,11124,261,False,,,2000000000.0,,
411,11125,458,False,1,good,30000000000.0,394,369
412,11126,452,False,,,7500000000.0,,
413,11127,375,False,,,3000000000.0,,
414,11128,391,False,,,3000000000.0,,
415,11129,399,False,,,2500000000.0,,
416,11130,400,False,,,32000000000.0,,
417,11131,547,False,,,10000000000.0,,
418,11132,865,False,,,3900000000.0,,
419,11133,520,False,-1,good,4250000000.0,286,261
420,11134,373,False,1,good,8000000000.0,362,337
421,11135,413,False,,,3000000000.0,,
422,11136,437,False,1,bad,1125000000.0,406,381
423,11137,396,False,,,2500000000.0,,
424,11138,502,False,,,1275000000.0,,
425,11139,353,False,,,6125000000.0,,
426,11140,845,False,,,3500000000.0,,
427,11141,456,False,-1,good,1650000000.0,414,389
428,11142,338,False,1,bad,1800000000.0,329,304
429,11143,335,False,-1,good,925000000.0,332,307
430,11144,369,False,-1,good,4000000000.0,355,330
431,11145,387,False,1,good,10000000000.0,364,339
432,11146,416,False,1,bad,2250000000.0,407,382
433,11147,572,False,-1,good,4000000000.0,478,453
434,11148,453,False,,,4000000000.0,,
435,11149,392,False,1,good,125000000000.0,383,358
436,11150,378,False,,,4000000000.0,,
437,11151,340,False,,,2500000000.0,,
438,11152,454,False,1,good,450000000000.0,420,395
439,11153,506,False,,,3000000000.0,,
440,11154,397,False,1,good,15000000000.0,392,367
441,11155,429,False,,,60000000000.0,,
442,11156,362,False,1,good,15000000000.0,359,334
443,11157,461,False,,,7800000000.0,,
444,11158,336,False,,,4400000000.0,,
445,11159,386,False,,,55000000000.0,,
446,11160,340,False,,,7000000000.0,,
447,11161,407,False,-1,good,1200000000.0,370,345
448,11162,376,False,,,3000000000.0,,
449,11163,562,False,1,good,7402500000.0,559,534
450,11164,492,False,1,good,13000000000.0,479,454
451,11165,345,False,,,4000000000.0,,
452,11166,325,False,,,20000000000.0,,
453,11167,458,False,1,good,8250000000.0,437,412
454,11168,684,False,,,4000000000.0,,
455,11169,374,False,1,good,75000000000.0,371,346
456,11170,831,False,,,4000000000.0,,
457,11171,1105,False,,,4000000000.0,,
458,11172,535,False,1,good,50000000000.0,528,503
459,11173,654,False,,,30000000000.0,,
460,11174,306,False,-1,good,3750000000.0,303,278
461,11175,329,False,1,good,35000000000.0,318,293
462,11176,451,False,,,500000000.0,,
463,11177,331,False,,,4700000000.0,,
464,11178,602,False,,,4000000000.0,,
465,11179,331,False,1,bad,1350000000.0,326,301
466,11180,369,False,1,good,4650000000.0,366,341
467,11181,377,False,1,good,5000000000.0,362,337
468,11182,448,False,-1,good,525000000.0,445,420
469,11183,379,False,,,70000000000.0,,
470,11184,467,False,,,900.0,,
471,11185,360,False,,,20000000000.0,,
472,11186,476,False,,,4375000000.0,,
473,11187,339,False,,,4000000000.0,,
474,11188,395,False,,,10000000000.0,,
475,11189,369,False,1,good,22400000000.0,352,327
476,11190,395,False,,,10000000000.0,,
477,11191,467,False,,,20000000000.0,,
478,11192,377,False,1,good,250000000000.0,369,344
479,11193,418,False,-1,good,4000000000.0,415,390
480,11194,402,False,,,150000000.0,,
481,11195,382,False,,,4000000000.0,,
482,11196,412,False,1,good,109500000000.0,409,384
483,11197,371,False,1,good,40000000000.0,365,340
484,11198,345,False,,,5000000000.0,,
485,11199,315,False,,,4000000000.0,,
486,11200,378,False,1,good,25000000000.0,369,344
487,11201,411,False,-1,good,345000000.0,380,355
488,11202,444,False,1,bad,3600000000.0,433,408
489,11203,364,False,,,2200000000.0,,
490,11204,370,False,,,50000000000.0,,
491,11205,491,False,,,37500000000.0,,
492,11206,369,False,1,good,550000000000.0,361,336
493,11207,520,False,1,good,81250000000.0,517,492
494,11208,455,False,,,4000000000.0,,
495,11209,377,False,,,5200000000.0,,
496,11210,472,False,1,good,27000000000.0,456,431
497,11211,470,False,,,3750000000.0,,
498,11212,379,False,1,bad,35000000.0,347,322
499,11213,357,False,,,2250000000.0,,
500,11214,469,False,,,375000000000.0,,
501,11215,703,False,,,70000000000.0,,
502,11216,344,False,,,37500000000.0,,
503,11217,452,False,,,4000000000.0,,
504,11218,396,False,,,700.0,,
505,11219,423,False,,,14000000000.0,,
506,11220,357,False,,,10000000000.0,,
507,11221,366,False,,,4162500000.0,,
508,11222,373,False,1,good,75000000000.0,333,308
509,11223,317,False,,,4900000000.0,,
510,11224,379,False,,,1000000000.0,,
511,11225,282,False,1,good,112500000000.0,275,250
512,11226,408,False,,,2250000000000.0,,
513,11227,373,False,,,600000000000.0,,
514,11228,448,False,,,30000000000.0,,
515,11229,573,False,1,bad,2100000000.0,548,523
516,11230,557,False,,,4000000000.0,,
517,11231,362,False,,,7500000000.0,,
518,11232,656,False,,,3500000000.0,,
519,11233,376,False,1,good,30000000000.0,368,343
520,11234,425,False,1,good,48000000000.0,416,391
521,11235,470,False,,,2500000000.0,,
522,11236,295,False,,,200000000.0,,
523,11237,356,False,1,good,15900000000.0,346,321
524,11238,354,False,1,bad,3450000000.0,351,326
525,11239,684,False,,,9000.0,,
526,11240,511,False,,,57500000000.0,,
527,11241,303,False,1,bad,900000000.0,300,275
528,11242,392,False,,,50000000000.0,,
529,11243,614,False,,,10000000000.0,,
530,11244,391,False,,,32000000000.0,,
531,11245,421,False,,,3600000000.0,,
532,11246,601,False,,,3800000000.0,,
533,11247,375,False,1,good,25000000000.0,372,347
534,11248,438,False,,,20000000000.0,,
535,11249,275,False,1,good,37500000000.0,264,239
536,11250,374,False,1,good,20000000000.0,362,337
537,11251,396,False,,,4000000000.0,,
538,11252,324,False,,,1500000000.0,,
539,11253,384,False,-1,good,200000000.0,375,350
540,11254,977,False,,,4200000000.0,,
541,11255,371,False,,,240000000000.0,,
542,11256,383,False,,,3000000000.0,,
543,11257,393,False,1,good,122500000000.0,385,360
544,11258,338,False,,,625000000.0,,
545,11259,559,False,,,2750000000.0,,
546,11260,551,False,,,300000000.0,,
547,11261,480,False,1,good,35000000000.0,477,452
548,11262,344,False,,,7500000000.0,,
549,11263,480,False,1,bad,150000000.0,449,424
550,11264,438,False,-1,good,3000000000.0,435,410
551,11265,502,False,,,3000000000.0,,
552,11266,400,False,,,1400000000.0,,
553,11267,373,False,,,1000000000.0,,
554,11268,409,False,,,2200000000.0,,
555,11269,360,False,-1,good,3000000000.0,357,332
556,11270,386,False,,,750000000.0,,
557,11271,429,False,,,1600000000.0,,
558,11272,354,False,1,good,35000000000.0,332,307
559,11273,430,False,1,bad,1625000000.0,420,395
560,11274,399,False,1,good,150000000000.0,392,367
561,11275,459,False,,,1500000000.0,,
562,11276,391,False,,,6000000000.0,,
563,11277,531,False,,,4200000000.0,,
564,11278,426,False,,,15000.0,,
565,11279,534,False,,,2300000000.0,,
566,11280,450,False,,,3600000000.0,,
567,11281,365,False,,,500000000.0,,
568,11282,420,False,,,2400000000.0,,
569,11283,380,False,,,1500.0,,
570,11284,377,False,,,25000000000.0,,
571,11285,522,False,1,good,9000000000.0,514,489
572,11286,401,False,,,5600000000.0,,
573,11287,315,False,,,5000000000.0,,
574,11288,361,False,,,192500000.0,,
575,11289,424,False,,,10000000000.0,,
576,11290,402,False,1,good,11250000000.0,329,304
577,11291,512,False,1,bad,1920000000.0,504,479
578,11292,388,False,,,3500000000.0,,
579,11293,317,False,,,10000000000.0,,
580,11294,393,False,,,15000000000.0,,
581,11295,388,False,,,24000000000.0,,
582,11296,399,False,,,10000000000.0,,
583,11297,455,False,1,good,8750000000.0,450,425
584,11298,425,False,1,good,42000000000.0,414,389
585,11299,500,False,,,6500000000.0,,
586,11300,344,False,1,good,70000000000.0,333,308
587,11301,652,False,,,4000000000.0,,
588,11302,366,False,,,4000000000.0,,
589,11303,358,False,-1,good,600000000.0,350,325
590,11304,439,False,,,2100000000.0,,
591,11305,381,False,1,bad,2500000000.0,348,323
592,11306,241,False,,,175000000.0,,
593,11307,412,False,1,good,360000000000.0,346,321
594,11308,574,False,,,4000000000.0,,
595,11309,403,False,,,2500000000.0,,
596,11310,393,False,1,good,18750000000.0,383,358
597,11311,372,False,,,2250000000.0,,
598,11312,290,False,1,good,10000000000.0,287,262
599,11313,447,False,,,25000000000.0,,
600,11314,406,False,,,1250000000.0,,
601,11315,420,False,-1,good,3000000000.0,408,383
602,11316,344,False,-1,good,1206250000.0,337,312
603,11317,414,False,1,good,24500000000.0,406,381
604,11318,396,False,1,good,14062500000.0,393,368
605,11319,365,False,,,5000000000.0,,
606,11320,628,False,,,4000000000.0,,
607,11321,356,False,-1,good,4000000000.0,353,328
608,11322,502,False,,,1875000000000.0,,
609,11323,425,False,,,920000000.0,,
610,11324,376,False,1,good,9000000000.0,373,348
611,11325,456,False,,,2100000000.0,,
612,11326,333,False,-1,good,3000000000.0,319,294
613,11327,372,False,,,4200000000.0,,
614,11328,373,False,-1,bad,60000000000.0,354,329
615,11329,382,False,,,3400000000.0,,
616,11330,519,False,,,450000000.0,,
617,11331,383,False,,,5000000000.0,,
618,11332,379,False,,,44000000000.0,,
619,11333,363,False,1,good,87500000000.0,360,335
620,11334,423,False,1,good,40000000000.0,413,388
621,11335,529,False,,,2000000000.0,,
622,11336,394,False,,,5500000000.0,,
623,11337,443,False,,,281250000.0,,
624,11338,390,False,,,1250000000.0,,
625,11339,343,False,1,good,16250000000.0,340,315
626,11340,377,False,1,good,21000000000.0,374,349
627,11341,561,False,,,45000000000.0,,
628,11342,531,False,,,28.0,,
629,11343,526,False,,,2600000000.0,,
630,11344,366,False,,,3000000000.0,,
631,11345,386,False,,,1912500000.0,,
632,11346,404,False,,,7500000000.0,,
633,11347,342,False,1,good,25000000000.0,333,308
634,11348,351,False,,,4000000000.0,,
635,11349,415,False,,,2700000000.0,,
636,11350,422,False,1,bad,450000000.0,419,394
637,11351,370,False,,,135000000000.0,,
638,11352,384,False,1,good,30000000000.0,320,295
639,11353,517,False,,,1500000000.0,,
640,11354,272,False,,,500000000.0,,
641,11355,609,False,,,900.0,,
