model,tau,condition,i,n_raw,n_filtered
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,34,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,35,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,36,8,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,37,5,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,38,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,39,3,1
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,40,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,41,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,42,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,43,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,44,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,45,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,46,5,4
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,47,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,48,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,49,3,2
Qwen/Qwen3-8B,31250000,below_good,0,68,36
Qwen/Qwen3-8B,31250000,below_good,1,260,137
Qwen/Qwen3-8B,31250000,below_good,2,100,61
Qwen/Qwen3-8B,31250000,below_good,3,110,58
Qwen/Qwen3-8B,31250000,below_good,4,78,45
Qwen/Qwen3-8B,31250000,below_good,5,53,29
Qwen/Qwen3-8B,31250000,below_good,6,69,41
Qwen/Qwen3-8B,31250000,below_good,7,111,66
Qwen/Qwen3-8B,31250000,below_good,8,49,26
Qwen/Qwen3-8B,31250000,below_good,9,72,44
Qwen/Qwen3-8B,31250000,below_good,10,95,57
Qwen/Qwen3-8B,31250000,below_good,11,106,57
Qwen/Qwen3-8B,31250000,below_good,12,105,68
Qwen/Qwen3-8B,31250000,below_good,13,133,73
Qwen/Qwen3-8B,31250000,below_good,14,102,63
Qwen/Qwen3-8B,31250000,below_good,15,28,18
Qwen/Qwen3-8B,31250000,below_good,16,91,64
Qwen/Qwen3-8B,31250000,below_good,17,121,67
Qwen/Qwen3-8B,31250000,below_good,18,75,40
Qwen/Qwen3-8B,31250000,below_good,19,65,36
Qwen/Qwen3-8B,31250000,below_good,20,104,66
Qwen/Qwen3-8B,31250000,below_good,21,74,47
Qwen/Qwen3-8B,31250000,below_good,22,74,43
Qwen/Qwen3-8B,31250000,below_good,23,90,55
Qwen/Qwen3-8B,31250000,below_good,24,111,47
Qwen/Qwen3-8B,31250000,below_good,25,82,51
Qwen/Qwen3-8B,31250000,below_good,26,65,35
Qwen/Qwen3-8B,31250000,below_good,27,144,86
Qwen/Qwen3-8B,31250000,below_good,28,95,59
Qwen/Qwen3-8B,31250000,below_good,29,102,54
Qwen/Qwen3-8B,31250000,below_good,30,51,31
Qwen/Qwen3-8B,31250000,below_good,31,97,56
Qwen/Qwen3-8B,31250000,below_good,32,85,42
Qwen/Qwen3-8B,31250000,below_good,33,159,77
Qwen/Qwen3-8B,31250000,below_good,34,65,37
Qwen/Qwen3-8B,31250000,below_good,35,92,56
Qwen/Qwen3-8B,31250000,below_good,36,88,49
Qwen/Qwen3-8B,31250000,below_good,37,113,60
Qwen/Qwen3-8B,31250000,below_good,38,87,49
Qwen/Qwen3-8B,31250000,below_good,39,117,66
Qwen/Qwen3-8B,31250000,below_good,40,85,49
Qwen/Qwen3-8B,31250000,below_good,41,109,68
Qwen/Qwen3-8B,31250000,below_good,42,85,53
Qwen/Qwen3-8B,31250000,below_good,43,150,84
Qwen/Qwen3-8B,31250000,below_good,44,269,166
Qwen/Qwen3-8B,31250000,below_good,45,77,40
Qwen/Qwen3-8B,31250000,below_good,46,114,79
Qwen/Qwen3-8B,31250000,below_good,47,91,45
Qwen/Qwen3-8B,31250000,below_good,48,90,52
Qwen/Qwen3-8B,31250000,below_good,49,112,60
Qwen/Qwen3-8B,31250000,above_good,0,64,40
Qwen/Qwen3-8B,31250000,above_good,1,92,59
Qwen/Qwen3-8B,31250000,above_good,2,107,72
Qwen/Qwen3-8B,31250000,above_good,3,116,71
Qwen/Qwen3-8B,31250000,above_good,4,75,43
Qwen/Qwen3-8B,31250000,above_good,5,126,66
Qwen/Qwen3-8B,31250000,above_good,6,78,50
Qwen/Qwen3-8B,31250000,above_good,7,82,45
Qwen/Qwen3-8B,31250000,above_good,8,134,92
Qwen/Qwen3-8B,31250000,above_good,9,116,69
Qwen/Qwen3-8B,31250000,above_good,10,68,41
Qwen/Qwen3-8B,31250000,above_good,11,97,57
Qwen/Qwen3-8B,31250000,above_good,12,65,41
Qwen/Qwen3-8B,31250000,above_good,13,76,49
Qwen/Qwen3-8B,31250000,above_good,14,66,27
Qwen/Qwen3-8B,31250000,above_good,15,135,70
Qwen/Qwen3-8B,31250000,above_good,16,140,71
Qwen/Qwen3-8B,31250000,above_good,17,140,83
Qwen/Qwen3-8B,31250000,above_good,18,124,68
Qwen/Qwen3-8B,31250000,above_good,19,75,52
Qwen/Qwen3-8B,31250000,above_good,20,138,76
Qwen/Qwen3-8B,31250000,above_good,21,129,76
Qwen/Qwen3-8B,31250000,above_good,22,99,54
Qwen/Qwen3-8B,31250000,above_good,23,47,32
Qwen/Qwen3-8B,31250000,above_good,24,131,90
Qwen/Qwen3-8B,31250000,above_good,25,157,74
Qwen/Qwen3-8B,31250000,above_good,26,107,61
Qwen/Qwen3-8B,31250000,above_good,27,88,46
Qwen/Qwen3-8B,31250000,above_good,28,93,48
Qwen/Qwen3-8B,31250000,above_good,29,61,34
Qwen/Qwen3-8B,31250000,above_good,30,91,46
Qwen/Qwen3-8B,31250000,above_good,31,113,62
Qwen/Qwen3-8B,31250000,above_good,32,91,53
Qwen/Qwen3-8B,31250000,above_good,33,113,70
Qwen/Qwen3-8B,31250000,above_good,34,97,63
Qwen/Qwen3-8B,31250000,above_good,35,85,50
Qwen/Qwen3-8B,31250000,above_good,36,91,55
Qwen/Qwen3-8B,31250000,above_good,37,65,41
Qwen/Qwen3-8B,31250000,above_good,38,108,66
Qwen/Qwen3-8B,31250000,above_good,39,61,33
Qwen/Qwen3-8B,31250000,above_good,40,103,58
Qwen/Qwen3-8B,31250000,above_good,41,76,48
Qwen/Qwen3-8B,31250000,above_good,42,93,56
Qwen/Qwen3-8B,31250000,above_good,43,122,71
Qwen/Qwen3-8B,31250000,above_good,44,85,45
Qwen/Qwen3-8B,31250000,above_good,45,90,54
Qwen/Qwen3-8B,31250000,above_good,46,76,43
Qwen/Qwen3-8B,31250000,above_good,47,87,50
Qwen/Qwen3-8B,31250000,above_good,48,71,44
Qwen/Qwen3-8B,31250000,above_good,49,70,43
